formula,elements,num_atoms,a,b,c,alpha,beta,gamma,volume,volume_per_atom,density,b_over_a,c_over_a,angle_deviation,space_group_number,space_group_symbol,crystal_system,mean_bond_length,std_bond_length,min_bond_length,max_bond_length,mean_coordination,std_coordination,min_coordination,max_coordination,row_index,split,source_file,material_id,energy,relative_energy,relative_energy_meV,lattice_min,lattice_max,lattice_anisotropy,angle_mean,angle_std,density_x_volume_per_atom,cluster_kmeans,PC1,PC2,distance_to_cluster_center
C,C,8,2.48189,3.6661100000000006,5.57014,70.79603,102.90088000000002,89.99624,46.50465667220568,5.813082084025711,3.4309229263911467,1.4771444342819386,2.244313809234092,32.10861000000001,74,Imma,orthorhombic,1.5259115625213426,0.0288610933433709,1.4937313406442485,1.5824028557559666,4.0,0.0,4.0,4.0,6692,validation,huggingface,C-34631-1494-22,-154.24255375,0.3144312499999842,314.4312499999842,2.48189,5.57014,2.2443138092340917,87.89771666666667,16.154974420160297,19.944236595077438,0,2.138812852743532,1.5036493037325542,1.645659225213541
C,C,8,2.48254,3.666150000000001,5.5714,70.8319,102.8919,90.0176,46.54199403551306,5.817749254439133,3.428170538608094,1.4767737881363443,2.244233728358858,32.077600000000004,74,Imma,orthorhombic,1.5261651090706398,0.0294531004382052,1.493718034791846,1.577988474304664,4.0,0.0,4.0,4.0,2292,train,huggingface,C-177268-8621-15,-154.24710125,0.3098837500000115,309.8837500000115,2.48254,5.5714,2.244233728358858,87.9138,16.1332073943776,19.944236595077438,0,2.1353500761208837,1.4847512042888746,1.6470550158333819
C,C,8,2.4818299999999995,3.66734,5.57139,70.76568,102.8838,89.99238,46.523783467357454,5.815472933419682,3.4295124099820367,1.4776757473316064,2.244871727717048,32.12573999999999,74,Imma,orthorhombic,1.5259689580198912,0.0291228164013471,1.4930565621038416,1.5766782903690677,4.0,0.0,4.0,4.0,9212,test,huggingface,C-56512-1663-8,-154.24468875,0.3122962500000028,312.2962500000028,2.4818299999999995,5.57139,2.244871727717048,87.88061999999998,16.162860384436904,19.944236595077438,0,2.1373176398114477,1.472802922222297,1.6486484593793664
C,C,8,2.48175,3.665680000000001,5.5734,109.22239,77.14325,90.00684,46.52826810070508,5.816033512588135,3.42918185596944,1.4770544978341895,2.2457540042308857,32.085980000000006,74,Imma,orthorhombic,1.526138036988037,0.0288310337761709,1.4923612008342657,1.57754367508002,4.0,0.0,4.0,4.0,8585,test,huggingface,C-148244-5888-7,-154.24429125,0.312693749999994,312.693749999994,2.48175,5.5734,2.2457540042308857,92.12416,16.144041896987883,19.94423659507744,0,2.119766624100909,1.4914402362649477,1.7020617367160809
C,C,8,2.48171,3.6629,5.57521,109.2469,77.09934,89.97661,46.488635922076085,5.811079490259511,3.432105278977481,1.4759581095293164,2.246519536932196,32.170950000000005,74,Imma,orthorhombic,1.525877050920764,0.0288269726073226,1.4914507032597502,1.581182397053194,4.0,0.0,4.0,4.0,8637,test,huggingface,C-75995-2520-48,-154.24205625,0.3149287500000071,314.9287500000071,2.48171,5.57521,2.2465195369321957,92.10761666666667,16.17937871330149,19.944236595077438,0,2.1118512418704527,1.5081448909524007,1.7023913341243777
C,C,10,2.4631099999999995,4.4446,6.09204,104.79722,83.10291000000001,84.13512,63.39825637216278,6.339825637216277,3.1458651603918018,1.8044667107843344,2.4733121947456675,27.559189999999987,2,P-1,triclinic,1.4886827082962255,0.0426885964229832,1.358940440019226,1.5545705064467403,3.8,0.3999999999999999,3.0,4.0,3591,train,huggingface,C-172947-5402-6,-154.125671,0.4313139999999862,431.3139999999862,2.4631099999999995,6.09204,2.4733121947456675,90.67841666666668,12.238129760916626,19.94423659507744,1,-1.570048717935768,0.3646299654226097,1.5106348235698037
C,C,10,2.511,4.40458,5.54852,77.3334,95.00488,95.99271,59.41431570697462,5.941431570697462,3.356806580663218,1.7541138988450815,2.20968538430904,23.664190000000005,2,P-1,triclinic,1.5006438214729112,0.0614211993481505,1.3636227974076631,1.5923671650062794,3.6,0.4898979485566356,3.0,4.0,7054,validation,huggingface,C-141045-9787-14,-154.067835,0.4891499999999951,489.1499999999951,2.511,5.54852,2.20968538430904,89.44366333333333,10.499419532966257,19.94423659507744,1,-1.5730565259862466,1.0830145372552846,1.609230924178967
C,C,12,2.5367700000000006,4.79076,6.40758,70.83765000000001,90.26995,90.03532,73.55613503020942,6.129677919184118,3.253716893127084,1.8885275369860093,2.5258813372911217,19.467619999999982,10,P2/m,monoclinic,1.4998348426043258,0.0624386884209626,1.3709453994804195,1.592452800982155,3.6666666666666665,0.4714045207910317,3.0,4.0,7687,validation,huggingface,C-34629-5612-24,-154.27206166666667,0.2849233333333245,284.9233333333245,2.5367700000000006,6.40758,2.5258813372911217,83.71430666666667,11.152128854735905,19.944236595077438,1,-2.137381303896675,1.1630282966221233,1.6364378786705935
C,C,12,2.53627,4.78938,6.41162,109.22825,90.94688999999998,89.91093000000001,73.52754194751132,6.127295162292611,3.2549821849311784,1.8883557349966684,2.5279721796181005,20.264209999999977,10,P2/m,monoclinic,1.4999273580074146,0.0632682418201577,1.367847564856239,1.595640096423113,3.6666666666666665,0.4714045207910317,3.0,4.0,7514,validation,huggingface,C-106859-2905-32,-154.27132500000002,0.2856599999999787,285.6599999999787,2.53627,6.41162,2.5279721796181005,96.69535666666667,10.86615685322706,19.94423659507744,1,-2.216378076784824,1.1619371688071154,1.6799349489039566
C,C,10,2.51799,4.75297,5.42017,89.07206000000001,103.44795000000002,74.67747999999999,60.63818508148351,6.06381850814835,3.2890556615896505,1.887604795888784,2.1525780483639725,29.698410000000024,12,C2/m,monoclinic,1.495926170671189,0.0597382045647041,1.3632298901800934,1.5884589380816374,3.6,0.4898979485566356,3.0,4.0,10119,test,huggingface,C-130522-136-22,-154.187591,0.3693939999999998,369.3939999999998,2.51799,5.42017,2.1525780483639725,89.06583,14.38523601179002,19.94423659507744,1,-1.6205768541403074,0.9602288828524519,1.7021418813642335
C,C,10,3.26535,4.31723,5.55089,73.4382,98.52279,102.15819,72.99819557119588,7.299819557119588,2.732154738760032,1.322133921325432,1.6999372195936115,37.24278000000001,2,P-1,triclinic,1.4069656535715729,0.0130202190008172,1.3904230389718009,1.430126234273788,3.0,0.0,3.0,3.0,4578,train,huggingface,C-126157-7089-12,-154.238985,0.3179999999999836,317.9999999999836,3.26535,5.55089,1.6999372195936115,91.37306,15.638044497465152,19.944236595077438,2,0.061722511319134844,-3.6718586510933235,1.7219634353379887
C,C,6,2.76888,3.635930000000001,4.81694,67.62478,98.70945000000002,83.51942,43.54806617431359,7.258011029052265,2.747892847674787,1.313141053422323,1.739670913871313,37.56525000000002,2,P-1,triclinic,1.4078866231481788,0.0194653936159063,1.377453115240597,1.4371464245784331,3.0,0.0,3.0,3.0,8839,test,huggingface,C-92124-4005-3,-154.10850016666666,0.4484848333333389,448.4848333333389,2.76888,4.81694,1.7396709138713127,83.28455000000001,15.543665918627442,19.94423659507744,2,0.5586768501082906,-3.5744792800328318,1.888888156340739
C,C,6,2.80689,3.62499,4.8144,67.83769,94.22413,87.86802,45.13173509585601,7.521955849309335,2.6514695106737056,1.291461368275921,1.7152079347605356,28.518419999999992,12,C2/m,monoclinic,1.4064931333370263,0.0211995746316242,1.38023796613125,1.4407425777079634,3.0,0.0,3.0,3.0,8580,test,huggingface,C-130516-3871-26,-154.13378816666668,0.4231968333333213,423.1968333333213,2.80689,4.8144,1.7152079347605356,83.30994666666668,13.771095757144144,19.94423659507744,2,0.4767271669893177,-3.684049406995003,1.9084925141956515
C,C,8,3.0115700000000003,4.2062800000000005,4.78077,82.77189,106.90001999999998,101.59949000000002,56.61481712253839,7.076852140317299,2.818235593966107,1.3967067011558756,1.5874676663667124,35.72762,12,C2/m,monoclinic,1.4016168637472026,0.0014094825070372,1.3995635752104487,1.4035216062320952,3.0,0.0,3.0,3.0,9367,test,huggingface,C-76006-9814-6,-154.4274,0.1295849999999916,129.5849999999916,3.0115700000000003,4.78077,1.5874676663667124,97.09046666666666,12.680304921003803,19.944236595077438,2,0.7203576621032552,-3.7869046036931584,1.9140890904568366
C,C,6,2.84747,3.62703,4.8144,67.86564,97.90912,87.09135000000002,45.33383691688949,7.555639486148248,2.6396490504399006,1.2737728580107954,1.6907640817989302,32.95212999999998,2,P-1,triclinic,1.4072440330447524,0.0221896979264001,1.380556275215759,1.4431018365978945,3.0,0.0,3.0,3.0,1790,train,huggingface,C-126163-8054-23,-154.14315283333335,0.4138321666666513,413.8321666666513,2.84747,4.8144,1.6907640817989302,84.28870333333334,15.216563142879322,19.94423659507744,2,0.4521010887932194,-3.7222117958493652,1.932150554584217
